Date,Location,Variety,Price,Year,Month,Quarter,Day_of_year,Season,Is_Yala,Is_Maha,Price_lag1,Price_lag2,Price_lag3,Price_lag6,Price_lag12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12,Rolling_Std_3,Rolling_Std_6,Price_vs_3MA,Price_vs_6MA,Price_Change_1m,Price_Change_3m,YoY_Price,YoY_Change,YoY_Change_Pct
2007-04-15,Dambulla,BITTER GOURD,20.6,2007,4,2,105,Maha,0,1,21.53,40.95,53.2,31.36,12.0,27.69333333333333,39.788333333333334,34.40666666666667,11.490023208563745,15.452359582493104,-7.09333333333333,-19.188333333333333,-0.04319554110543422,-0.612781954887218,12.0,8.600000000000001,71.66666666666669
2007-05-15,Dambulla,BITTER GOURD,32.5,2007,5,2,135,Maha,0,1,20.6,21.53,40.95,46.25,28.52,24.876666666666665,37.49666666666667,34.73833333333334,6.6183557877567605,15.321444666436205,7.623333333333335,-4.99666666666667,0.5776699029126213,-0.2063492063492064,28.52,3.9800000000000004,13.955119214586256
2007-06-15,Dambulla,BITTER GOURD,40.53,2007,6,2,166,Intermediate1,0,0,32.5,20.6,21.53,56.2,31.07,31.209999999999997,34.885000000000005,35.526666666666664,10.02742738692234,12.587255062165053,9.320000000000004,5.644999999999996,0.2470769230769232,0.8824895494658616,31.07,9.46,30.447376890891537
2007-07-15,Dambulla,BITTER GOURD,44.25,2007,7,3,196,Intermediate1,0,0,40.53,32.5,20.6,53.2,32.35,39.093333333333334,33.39333333333334,36.51833333333334,6.005300436558835,10.30639154440905,5.156666666666666,10.856666666666662,0.09178386380458914,1.1480582524271843,32.35,11.899999999999999,36.785162287480674
2007-08-15,Dambulla,BITTER GOURD,37.25,2007,8,3,227,Intermediate1,0,0,44.25,40.53,32.5,40.95,24.15,40.67666666666667,32.77666666666667,37.61,3.502304003557339,9.865064960083455,-3.4266666666666694,4.473333333333329,-0.1581920903954802,0.14615384615384608,24.15,13.100000000000001,54.244306418219466
2007-09-15,Dambulla,BITTER GOURD,36.88,2007,9,3,258,Intermediate2,0,0,37.25,44.25,40.53,21.53,26.7,39.46,35.335,38.458333333333336,4.152384856922633,8.2179918471607,-2.5799999999999983,1.5450000000000017,-0.009932885906040245,-0.09005674808783615,26.7,10.180000000000003,38.12734082397005
2007-10-15,Dambulla,BITTER GOURD,41.53,2007,10,4,288,Intermediate2,0,0,36.88,37.25,44.25,20.6,31.36,38.553333333333335,38.82333333333333,39.30583333333333,2.5844986618943566,4.145453734715474,2.9766666666666666,2.7066666666666706,0.12608459869848154,-0.06146892655367231,31.36,10.170000000000002,32.42984693877551
2007-11-15,Dambulla,BITTER GOURD,57.4,2007,11,4,319,Intermediate2,0,0,41.53,36.88,37.25,32.5,46.25,45.27,42.97333333333333,40.235,10.759103122472638,7.585472079354493,12.129999999999995,14.42666666666667,0.38213339754394404,0.5409395973154363,46.25,11.149999999999999,24.108108108108105
2007-12-15,Dambulla,BITTER GOURD,52.88,2007,12,4,349,Yala,1,0,57.4,41.53,36.88,40.53,56.2,50.60333333333333,45.031666666666666,39.958333333333336,8.17628481239089,8.419604305824985,2.276666666666671,7.848333333333336,-0.07874564459930311,0.4338394793926248,56.2,-3.3200000000000003,-5.907473309608542
2008-01-15,Dambulla,BITTER GOURD,48.33,2008,1,1,15,Yala,1,0,52.88,57.4,41.53,44.25,53.2,52.87,45.711666666666666,39.5525,4.535008269011278,8.508140611594676,-4.539999999999999,2.6183333333333323,-0.08604387291981852,0.16373705754875978,53.2,-4.8700000000000045,-9.154135338345872
2008-02-15,Dambulla,BITTER GOURD,40.15,2008,2,1,46,Yala,1,0,48.33,52.88,57.4,37.25,40.95,47.12,46.195,39.48583333333333,6.450682134472333,7.998411717334886,-6.969999999999999,-6.045000000000002,-0.16925305193461615,-0.3005226480836237,40.95,-0.8000000000000043,-1.953601953601964
2008-03-15,Dambulla,BITTER GOURD,40.95,2008,3,1,75,Maha,0,1,40.15,48.33,52.88,36.88,21.53,43.14333333333334,46.873333333333335,41.104166666666664,4.509560215069061,7.181266369287988,-2.193333333333335,-5.923333333333332,0.01992528019925288,-0.22560514372163387,21.53,19.42,90.19972131908965
