Vegetable_Name,Week_Start,ISO_Year,ISO_Week,Is_Train,Time_Index
Bitter Gourd,2017-06-19,2017,25,True,390
Bitter Gourd,2017-06-26,2017,26,True,391
Bitter Gourd,2017-07-03,2017,27,True,392
Bitter Gourd,2017-07-10,2017,28,True,393
Bitter Gourd,2017-07-17,2017,29,True,394
Bitter Gourd,2017-07-24,2017,30,True,395
Bitter Gourd,2017-07-31,2017,31,True,396
Bitter Gourd,2017-08-07,2017,32,True,397
Bitter Gourd,2017-08-14,2017,33,True,398
Bitter Gourd,2017-08-21,2017,34,True,399
Bitter Gourd,2017-08-28,2017,35,True,400
Bitter Gourd,2017-09-04,2017,36,True,401
Bitter Gourd,2017-09-11,2017,37,True,402
Bitter Gourd,2017-09-18,2017,38,True,403
Bitter Gourd,2017-09-25,2017,39,True,404
Bitter Gourd,2017-10-02,2017,40,True,405
Bitter Gourd,2017-10-09,2017,41,True,406
Bitter Gourd,2017-10-16,2017,42,True,407
Bitter Gourd,2017-10-23,2017,43,True,408
Bitter Gourd,2017-10-30,2017,44,True,409
Bitter Gourd,2017-11-06,2017,45,True,410
Bitter Gourd,2017-11-13,2017,46,True,411
Bitter Gourd,2017-11-20,2017,47,True,412
Bitter Gourd,2017-11-27,2017,48,True,413
Bitter Gourd,2017-12-04,2017,49,True,414
Bitter Gourd,2017-12-11,2017,50,True,415
Bitter Gourd,2017-12-18,2017,51,True,416
Bitter Gourd,2017-12-25,2017,52,True,417
Bitter Gourd,2018-01-01,2018,1,True,418
Bitter Gourd,2018-01-08,2018,2,True,419
Bitter Gourd,2018-01-15,2018,3,True,420
Bitter Gourd,2018-01-22,2018,4,True,421
Bitter Gourd,2018-01-29,2018,5,True,422
Bitter Gourd,2018-02-05,2018,6,True,423
Bitter Gourd,2018-02-12,2018,7,True,424
Bitter Gourd,2018-02-19,2018,8,True,425
Bitter Gourd,2018-02-26,2018,9,True,426
Bitter Gourd,2018-03-05,2018,10,True,427
Bitter Gourd,2018-03-12,2018,11,True,428
Bitter Gourd,2018-03-19,2018,12,True,429
Bitter Gourd,2018-03-26,2018,13,True,430
Bitter Gourd,2018-04-02,2018,14,True,431
Bitter Gourd,2018-04-09,2018,15,True,432
Bitter Gourd,2018-04-16,2018,16,True,433
Bitter Gourd,2018-04-23,2018,17,True,434
Bitter Gourd,2018-04-30,2018,18,True,435
Bitter Gourd,2018-05-07,2018,19,True,436
Bitter Gourd,2018-05-14,2018,20,True,437
Bitter Gourd,2018-05-21,2018,21,True,438
Bitter Gourd,2018-05-28,2018,22,True,439
Bitter Gourd,2018-06-04,2018,23,True,440
Bitter Gourd,2018-06-11,2018,24,True,441
Bitter Gourd,2018-06-18,2018,25,True,442
Bitter Gourd,2018-06-25,2018,26,True,443
Bitter Gourd,2018-07-02,2018,27,True,444
Bitter Gourd,2018-07-09,2018,28,True,445
Bitter Gourd,2018-07-16,2018,29,True,446
Bitter Gourd,2018-07-23,2018,30,True,447
