year,week,vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg,week_num,year_week
2024,W6,Cabbage,384.0,drought,drought,drought,drought,drought,drought,drought,0.9940922363324072,0.9945260750694584,0.9935135033585778,0.9943095433763166,0.994531865843414,0.9946088579816796,0.9942517242677968,0.0007042908571428,0.000704513,0.0007043047142857,0.0007041442857142,0.0007044271428571,0.0007046317142857,0.0007043888571428,0.005203473,0.0047694118571428,0.0057821919999999,0.0049863122857142,0.0047637072857142,0.0046865101428571,0.0050438869999999,312.2,-0.13,6,202406
2024,W7,Cabbage,336.0,drought,drought,drought,drought,drought,drought,drought,0.9940114977736962,0.9944077500676214,0.9932429093034044,0.994334567785945,0.994421268997469,0.9945394463171688,0.9943627064782942,0.0007043301428571,0.0007045664285714,0.0007141,0.0007044068571428,0.0007044391428571,0.00070466,0.0007142274285714,0.0052841721428571,0.0048876837142857,0.0060429907142857,0.0049610252857142,0.0048742917142857,0.004755893,0.0049230659999999,310.7,-0.48,7,202407
2024,W8,Cabbage,332.0,drought,drought,drought,drought,drought,drought,drought,0.99358341298098,0.9945998492089329,0.9931834699513046,0.994247857459314,0.9943724954348304,0.9945128774218788,0.9944945979060158,0.000704116,0.0007045934285714,0.0007043562857142,0.0007044141428571,0.0007043785714285,0.0007046341428571,0.0007045054285714,0.0057124711428571,0.0046955571428571,0.0061121737142857,0.0050477282857142,0.0049231258571428,0.0047824881428571,0.0048008965714285,308.7,-0.64,8,202408
2024,W9,Cabbage,300.0,drought,drought,drought,drought,drought,drought,drought,0.5677219559996269,0.5684429973454728,0.5674157451137709,0.5680692085355611,0.5665952016435625,0.5682988584392733,0.5680737687778782,0.0007057847142857,0.0007060964285714,0.0007058894285714,0.0007059761428571,0.0007056398571428,0.0007060992857142,0.0007059642857142,0.4315722592857142,0.4308509057873882,0.4318783654536589,0.431224815596516,0.4326991583236129,0.4309950423839043,0.4312202670250875,307.25,-0.47,9,202409
2024,W10,Cabbage,306.0,normal,normal,normal,normal,normal,normal,normal,0.000108888,0.000108888,0.000108888,0.000108888,0.0001126057142857,0.00011372,0.000108888,0.000708058,0.000708058,0.000708058,0.000708058,0.0007080795714285,0.000708058,0.000708058,0.999183054,0.999183054,0.9991830539247064,0.999183054,0.9991793145264654,0.9991782221524198,0.9991830539247064,305.15,-0.68,10,202410
2024,W11,Cabbage,392.0,normal,normal,normal,normal,normal,normal,normal,0.000108888,0.000108888,0.000108888,0.000108888,0.000108888,0.000108888,0.000108888,0.000708058,0.000708058,0.000708058,0.000708058,0.000708058,0.000708058,0.000708058,0.999183054,0.999183054,0.9991830538870607,0.9991830538870846,0.999183054,0.9991830537365176,0.9991830538870607,303.2,-0.64,11,202411
2024,W12,Cabbage,312.0,normal,normal,normal,normal,normal,normal,normal,0.0001129475714285,0.000109129,0.0001119912857142,0.0001109224285714,0.0001114105714285,0.0001095198571428,0.0001119912857142,0.0007160631428571,0.0007379719999999,0.0007123585714285,0.0007199211428571,0.0007339688571428,0.0007194991428571,0.0007123585714285,0.9991709891818384,0.99915289889328,0.9991756500051532,0.999169156344522,0.9991546206889436,0.9991709807200287,0.9991756500051532,300.3,-0.96,12,202412
2024,W13,Cabbage,196.0,normal,normal,normal,normal,normal,normal,normal,0.000113313,0.000108888,0.0001092645714285,0.000108888,0.0001111897142857,0.0001171355714285,0.0001092645714285,0.0007080798571428,0.000708058,0.000708058,0.000708058,0.0007139782857142,0.0007080687142857,0.000708058,0.99917860688221,0.9991830539623686,0.999182677247284,0.9991830539623686,0.9991748319107536,0.9991747952254504,0.999182677247284,299.2,-0.37,13,202413
2024,W14,Cabbage,116.0,normal,normal,normal,normal,normal,normal,normal,0.0001126301428571,0.00011313,0.0001105588571428,0.0001107088571428,0.0001101714285714,0.0001136304285714,0.0001105588571428,0.0007175967142857,0.0007080837142857,0.000708058,0.0007167094285714,0.000715764,0.0007100901428571,0.000708058,0.9991697731956046,0.999178786263846,0.9991813831829628,0.9991725816284528,0.9991740646051804,0.9991762792214576,0.9991813831829628,298.4,-0.27,14,202414
2024,W15,Cabbage,138.0,normal,normal,normal,normal,normal,normal,normal,0.0001160848571428,0.000111716,0.0001103602857142,0.0001119855714285,0.000108888,0.0001151467142857,0.0001103602857142,0.0007237579999999,0.0007080751428571,0.0007172457142857,0.0007080754285714,0.0007153585714285,0.0007080748571428,0.0007172457142857,0.9991601570927876,0.9991802088425809,0.9991723939740916,0.9991799390528197,0.9991757531521972,0.9991767782819312,0.9991723939740916,301.0,0.87,15,202415
