,Unnamed: 0,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,CLASS
2921,2921,11152,"CHICORY GREENS,RAW",92.0,23,1.7,0.3,1.3,4.7,4.0,0.7,100.0,0.9,30.0,47.0,420.0,45.0,0.42,0.295,0.429,0.3,24.0,0.06,0.1,0.5,1.159,0.105,110.0,0.0,110.0,110.0,12.8,0.0,5717.0,286.0,0.0,0.0,3430.0,0.0,0.0,10300.0,2.26,0.0,0.0,297.6,0.073,0.006,0.131,0.0,29.0,"1 cup, chopped",,,18.0,11
2922,2922,11154,"CHICORY ROOTS,RAW",80.0,72,1.4,0.2,0.89,17.51,1.5,8.73,41.0,0.8,22.0,61.0,290.0,50.0,0.33,0.077,0.233,0.7,5.0,0.04,0.03,0.4,0.323,0.241,23.0,0.0,23.0,23.0,,0.0,6.0,0.0,0.0,,,,,,,0.0,0.0,,0.048,0.004,0.087,0.0,60.0,1 root,45.0,".5 cup,  (1"" pieces)",18.0,11
2926,2926,11161,"COLLARDS,RAW",89.62,32,3.02,0.61,1.32,5.42,4.0,0.46,232.0,0.47,27.0,25.0,213.0,17.0,0.21,0.046,0.658,1.3,35.3,0.054,0.13,0.742,0.267,0.165,129.0,0.0,129.0,129.0,23.2,0.0,5019.0,251.0,0.0,14.0,2991.0,28.0,0.0,4323.0,2.26,0.0,0.0,437.1,0.055,0.03,0.201,0.0,36.0,"1 cup, chopped",,,43.0,11
2930,2930,11165,"CORIANDER (CILANTRO) LEAVES,RAW",92.21,23,2.13,0.52,1.47,3.67,2.8,0.87,67.0,1.77,26.0,48.0,521.0,46.0,0.5,0.225,0.426,0.9,27.0,0.067,0.162,1.114,0.57,0.149,62.0,0.0,62.0,62.0,12.8,0.0,6748.0,337.0,0.0,36.0,3930.0,202.0,0.0,865.0,2.5,0.0,0.0,310.0,0.014,0.275,0.04,0.0,4.0,.25 cup,20.0,9 sprigs,15.0,11
2955,2955,11203,"CRESS,GARDEN,RAW",89.4,32,2.6,0.7,1.8,5.5,1.1,4.4,81.0,1.3,38.0,76.0,606.0,14.0,0.23,0.17,0.553,0.9,69.0,0.08,0.26,1.0,0.242,0.247,80.0,0.0,80.0,80.0,19.5,0.0,6917.0,346.0,0.0,0.0,4150.0,0.0,0.0,12500.0,0.7,0.0,0.0,541.9,0.023,0.239,0.228,0.0,50.0,1 cup,1.0,1 sprig,29.0,11
2959,2959,11207,"DANDELION GREENS,RAW",85.6,45,2.7,0.7,1.8,9.2,3.5,0.71,187.0,3.1,36.0,66.0,397.0,76.0,0.41,0.171,0.342,0.5,35.0,0.19,0.26,0.806,0.084,0.251,27.0,0.0,27.0,27.0,35.3,0.0,10161.0,508.0,0.0,363.0,5854.0,121.0,0.0,13610.0,3.44,0.0,0.0,778.4,0.17,0.014,0.306,0.0,55.0,"1 cup, chopped",,,0.0,11
2961,2961,11209,"EGGPLANT,RAW",92.3,25,0.98,0.18,0.66,5.88,3.0,3.53,9.0,0.23,14.0,24.0,229.0,2.0,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22.0,0.0,22.0,22.0,6.9,0.0,23.0,1.0,0.0,0.0,14.0,0.0,0.0,36.0,0.3,0.0,0.0,3.5,0.034,0.016,0.076,0.0,82.0,"1 cup, cubes",458.0,"1 eggplant, peeled (yield from 1-1/4 lb)",19.0,11
2965,2965,11213,"ENDIVE,RAW",93.79,17,1.25,0.2,1.41,3.35,3.1,0.25,52.0,0.83,15.0,28.0,314.0,22.0,0.79,0.099,0.42,0.2,6.5,0.08,0.075,0.4,0.9,0.02,142.0,0.0,142.0,142.0,16.8,0.0,2167.0,108.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.44,0.0,0.0,231.0,0.048,0.004,0.087,0.0,25.0,".5 cup, chopped",513.0,1 head,14.0,11
2967,2967,11215,"GARLIC,RAW",58.58,149,6.36,0.5,1.5,33.06,2.1,1.0,181.0,1.7,25.0,153.0,401.0,17.0,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3.0,0.0,3.0,3.0,23.2,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,0.08,0.0,0.0,1.7,0.089,0.011,0.249,0.0,136.0,1 cup,2.8,1 tsp,13.0,10
2968,2968,11216,"GINGER ROOT,RAW",78.89,80,1.82,0.75,0.77,17.77,2.0,1.7,16.0,0.6,43.0,34.0,415.0,13.0,0.34,0.226,0.229,0.7,5.0,0.025,0.034,0.75,0.203,0.16,11.0,0.0,11.0,11.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.1,0.203,0.154,0.154,0.0,2.0,1 tsp,24.0,".25 cup, slices (1"" dia)",7.0,10
2969,2969,11218,"GOURD,WHITE-FLOWERED (CALABASH),RAW",95.54,14,0.62,0.02,0.43,3.39,0.5,,26.0,0.2,11.0,13.0,150.0,2.0,0.7,0.026,0.066,0.2,10.1,0.029,0.022,0.32,0.152,0.04,6.0,0.0,6.0,6.0,,0.0,16.0,,0.0,,,,,,,0.0,0.0,,0.002,0.004,0.009,0.0,58.0,".5 cup,  (1"" pieces)",771.0,1 gourd,30.0,1
2971,2971,11220,"GOURD,DISHCLOTH (TOWELGOURD),RAW",93.85,20,1.2,0.2,0.4,4.35,1.1,2.02,20.0,0.36,14.0,32.0,139.0,3.0,0.07,0.035,0.092,0.2,12.0,0.05,0.06,0.4,0.218,0.043,7.0,0.0,7.0,7.0,,0.0,410.0,,0.0,,,,,,0.1,0.0,0.0,0.7,0.016,0.037,0.087,0.0,95.0,"1 cup,  (1"" pieces)",178.0,1 gourd,27.0,11
2977,2977,11226,"JERUSALEM-ARTICHOKES,RAW",78.01,73,2.0,0.01,2.54,17.44,1.6,9.6,14.0,3.4,17.0,78.0,429.0,4.0,0.12,0.14,0.06,0.7,4.0,0.2,0.06,1.3,0.397,0.077,13.0,0.0,13.0,13.0,30.0,0.0,20.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.19,0.0,0.0,0.1,0.0,0.004,0.001,0.0,150.0,"1 cup, slices",,,31.0,10
